YYYY ,MM ,DD ,SST_MIN ,SST_MAX ,SST@90th_HS ,SSTA@90th_HS ,90th_HS>0 ,DHW_from_90th_HS>1 ,BAA_7day_max
1985,5,9,26.4900,27.5200,27.3700,0.0260,0.0000,0.0000,0
1985,5,10,26.5200,27.5000,27.3700,0.1500,0.0000,0.0000,0
1985,5,11,26.5900,27.4700,27.3600,0.1620,0.0000,0.0000,0
1985,5,12,26.4900,27.5900,27.1200,0.0130,0.0000,0.0000,0
1985,5,13,26.5100,27.4400,26.8100,-0.2073,0.0000,0.0000,0
1985,5,14,26.4200,27.4400,27.1000,-0.0427,0.0000,0.0000,0
1985,5,15,26.5500,27.5200,27.1200,-0.0100,0.0000,0.0000,0
1985,5,16,26.3200,27.1600,27.0500,-0.0371,0.0000,0.0000,0
1985,5,17,26.3400,27.1500,27.0700,0.0158,0.0000,0.0000,0
1985,5,18,26.2600,28.0900,27.6000,0.5519,0.0000,0.0000,0
1985,5,19,26.2100,27.8700,27.4700,0.4677,0.0000,0.0000,0
1985,5,20,26.1200,27.7200,27.2700,0.2848,0.0000,0.0000,0
1985,5,21,26.0700,27.5300,27.2200,0.2855,0.0000,0.0000,0
1985,5,22,26.0000,27.6000,27.2300,0.3158,0.0000,0.0000,0
1985,5,23,26.1200,27.9900,26.9800,0.1452,0.0000,0.0000,0
1985,5,24,26.2500,27.9700,27.3500,0.4829,0.0000,0.0000,0
1985,5,25,26.4000,27.9200,27.3800,0.5790,0.0000,0.0000,0
1985,5,26,26.0500,27.5400,27.1300,0.3484,0.0000,0.0000,0
1985,5,27,26.1600,27.5600,26.9000,0.0632,0.0000,0.0000,0
1985,5,28,26.7400,27.8600,27.5200,0.8177,0.0000,0.0000,0
1985,5,29,26.7300,27.9500,27.3900,0.6800,0.0000,0.0000,0
1985,5,30,26.5000,27.7600,27.0600,0.4845,0.0000,0.0000,0
1985,5,31,26.3100,27.6300,26.9100,0.3355,0.0000,0.0000,0
1985,6,1,26.2600,27.8500,27.1800,0.5029,0.0000,0.0000,0
1985,6,2,26.2500,28.2500,27.3500,0.8374,0.0000,0.0000,0
1985,6,3,26.1600,28.0500,27.5800,1.0332,0.0000,0.0000,0
1985,6,4,26.0000,27.7400,26.9600,0.5094,0.0000,0.0000,0
1985,6,5,26.0700,27.5200,26.9000,0.5839,0.0000,0.0000,0
1985,6,6,25.5000,26.9300,26.2600,-0.0716,0.0000,0.0000,0
1985,6,7,26.1600,27.2700,26.7300,0.5119,0.0000,0.0000,0
1985,6,8,26.3800,27.5000,26.8700,0.7674,0.0000,0.0000,0
1985,6,9,26.6300,27.6500,26.9800,0.9445,0.0000,0.0000,0
1985,6,10,26.1800,27.0300,26.4700,0.4571,0.0000,0.0000,0
1985,6,11,25.9700,26.9000,26.3000,0.3084,0.0000,0.0000,0
1985,6,12,25.7800,26.8000,26.1600,0.1513,0.0000,0.0000,0
1985,6,13,25.7300,26.6300,26.0400,-0.0345,0.0000,0.0000,0
1985,6,14,25.8800,26.6000,26.1900,0.1571,0.0000,0.0000,0
1985,6,15,25.7200,26.4300,26.0100,0.0800,0.0000,0.0000,0
1985,6,16,25.7900,26.3900,26.0100,0.1483,0.0000,0.0000,0
1985,6,17,25.7500,26.4200,26.2100,0.0780,0.0000,0.0000,0
1985,6,18,25.8500,26.9000,26.3400,0.2650,0.0000,0.0000,0
1985,6,19,25.8100,27.0900,26.8700,0.9973,0.0000,0.0000,0
1985,6,20,25.5600,26.7600,26.5900,0.6750,0.0000,0.0000,0
1985,6,21,25.2600,26.2700,25.7800,-0.2560,0.0000,0.0000,0
1985,6,22,25.3300,26.1400,25.8900,-0.0617,0.0000,0.0000,0
1985,6,23,24.5100,25.7900,25.4000,-0.4907,0.0000,0.0000,0
1985,6,24,24.4600,25.8400,25.3300,-0.5220,0.0000,0.0000,0
1985,6,25,23.7600,25.1300,24.7800,-1.0667,0.0000,0.0000,0
1985,6,26,23.5600,24.8500,24.5000,-1.3220,0.0000,0.0000,0
1985,6,27,23.0400,24.5600,24.1600,-1.6660,0.0000,0.0000,0
1985,6,28,22.9400,24.6600,23.9300,-1.9377,0.0000,0.0000,0
1985,6,29,23.2100,25.0700,24.8500,-0.9187,0.0000,0.0000,0
1985,6,30,23.4700,25.1400,24.9700,-0.7400,0.0000,0.0000,0
1985,7,1,23.5900,25.2100,25.0700,-0.6407,0.0000,0.0000,0
1985,7,2,24.0500,25.2900,25.2700,-0.4370,0.0000,0.0000,0
1985,7,3,24.0800,25.3400,25.1600,-0.2800,0.0000,0.0000,0
1985,7,4,23.9800,25.3200,25.0700,-0.3333,0.0000,0.0000,0
1985,7,5,23.8500,25.6700,25.3100,-0.2600,0.0000,0.0000,0
1985,7,6,24.4600,26.0900,25.9700,0.4280,0.0000,0.0000,0
1985,7,7,24.4600,26.1100,26.0500,0.4707,0.0000,0.0000,0
1985,7,8,24.7100,26.0700,25.9600,0.6127,0.0000,0.0000,0
1985,7,9,24.2600,25.6100,25.3600,0.0160,0.0000,0.0000,0
